id,kind,dataset,ratio_pct,setting,env,seeds,n,mean_test,std_test,best_test,best_seed,notes,source
cora_1p3,10-run,Cora,1.3,lr_rec=0.1 edge_topk=12 rec_retries+train-quota,dtgb,0-9,10,65.96,9.43,75.20,2,see cora_summary.csv id Qretry,results/gctd/cora_summary.csv
citeseer_0p9_01,10-run,Citeseer,0.9,lr_rec=0.01 edge_topk=12,gctd,0-9,10,64.92,7.72,74.70,6,"no collapse; thresh~0.437; 29 synth nodes; paper 76.8±0.4 -> gap -11.88",results/gctd/citeseer_0p009_runs.csv
citeseer_0p9_001,10-run,Citeseer,0.9,lr_rec=0.001 edge_topk=12 (control),gctd,0-9,10,66.45,5.09,73.10,5,"control: 1e-3 also does NOT collapse; only +1.53 over 0.01; paper gap -10.35",results/gctd/citeseer_0p009_lrrec1e3_runs.csv
pubmed_0p08_01,10-run,Pubmed,0.08,lr_rec=0.01 edge_topk=12 (all collapse -> retry 0.001),gctd,0-9,10,77.90,1.45,79.80,4,"all 10 runs collapsed then retried to 1e-3; paper 79.9±0.2 -> gap -2.00",results/gctd/pubmed_0p0008_runs.csv
pubmed_0p08_42,single,Pubmed,0.08,same as pubmed_0p08_01,gctd,42,1,79.70,,79.70,42,"lucky single seed; 10-seed mean is 77.90, do not quote this alone",results/gctd/pubmed_0p0008_runs.csv
paper_cora,reference,Cora,1.3,Table 2 GCTD,official,unspecified,10,81.40,1.60,,,hyperparams not in README; wandb Bayesian search,paper Table 2
paper_citeseer,reference,Citeseer,0.9,Table 2 GCTD,official,unspecified,10,76.80,0.40,,,lossless claim for Citeseer,paper Table 2
paper_pubmed,reference,Pubmed,0.08,Table 2 GCTD,official,unspecified,10,79.90,0.20,,,lossless claim for Pubmed,paper Table 2
