log,run_id,dataset,commit,patch,split,seed,spec,epochs_printed,last_epoch,early_stop_epoch,best_val,val_selected_epoch,val_selected_test,val_selected_last_epoch,val_selected_last,oracle_best_test,last_printed_test,runtime_seconds,exit_code
/home/lab_user/project/lzc/results/sgpc/runs/20260912_171347_planetoid_s0_Cora_pid64375.log,20260912_171347_planetoid_s0_Cora_pid64375,Cora data_id=0 env=dtgb cuda_visible_devices=0,114b585d0d0e,72952adeb096,0,0,dense,45,1096,1096,80.2,95,81.8,112,80.4,82.9,80.3,151,0
/home/lab_user/project/lzc/results/sgpc/runs/20260912_171623_planetoid_s1_Cora_pid65508.log,20260912_171623_planetoid_s1_Cora_pid65508,Cora data_id=0 env=dtgb cuda_visible_devices=0,114b585d0d0e,72952adeb096,0,1,dense,40,1081,1081,80.4,80,81.4,80,81.4,82.0,79.3,149,0
/home/lab_user/project/lzc/results/sgpc/runs/20260912_171855_planetoid_s2_Cora_pid66646.log,20260912_171855_planetoid_s2_Cora_pid66646,Cora data_id=0 env=dtgb cuda_visible_devices=0,114b585d0d0e,72952adeb096,0,2,dense,48,1112,1112,78.4,111,80.5,111,80.5,80.9,77.9,154,0
/home/lab_user/project/lzc/results/sgpc/runs/20260912_172132_planetoid_s3_Cora_pid67717.log,20260912_172132_planetoid_s3_Cora_pid67717,Cora data_id=0 env=dtgb cuda_visible_devices=0,114b585d0d0e,72952adeb096,0,3,dense,38,1102,1102,81.0,101,83.5,142,81.6,83.5,81.4,153,0
/home/lab_user/project/lzc/results/sgpc/runs/20260912_172409_planetoid_s4_Cora_pid68905.log,20260912_172409_planetoid_s4_Cora_pid68905,Cora data_id=0 env=dtgb cuda_visible_devices=0,114b585d0d0e,72952adeb096,0,4,dense,53,1169,1169,81.8,168,83.1,273,83.1,83.6,81.8,164,0
