log,run_id,dataset,commit,patch,split,seed,spec,epochs_printed,last_epoch,early_stop_epoch,best_val,val_selected_epoch,val_selected_test,val_selected_last_epoch,val_selected_last,oracle_best_test,last_printed_test,runtime_seconds,exit_code
/home/lab_user/project/lzc/results/sgpc/runs/20260912_172657_planetoid_s0_Citeseer_pid70561.log,20260912_172657_planetoid_s0_Citeseer_pid70561,Citeseer data_id=1 env=dtgb cuda_visible_devices=0,114b585d0d0e,72952adeb096,0,0,dense,42,1122,1122,73.2,121,71.4,121,71.4,72.2,68.9,211,0
/home/lab_user/project/lzc/results/sgpc/runs/20260912_173032_planetoid_s1_Citeseer_pid72160.log,20260912_173032_planetoid_s1_Citeseer_pid72160,Citeseer data_id=1 env=dtgb cuda_visible_devices=0,114b585d0d0e,72952adeb096,0,1,dense,57,1160,1160,71.4,159,71.3,159,71.3,71.3,67.5,220,0
/home/lab_user/project/lzc/results/sgpc/runs/20260912_173416_planetoid_s2_Citeseer_pid73980.log,20260912_173416_planetoid_s2_Citeseer_pid73980,Citeseer data_id=1 env=dtgb cuda_visible_devices=0,114b585d0d0e,72952adeb096,0,2,dense,50,1183,1183,71.0,182,71.9,220,69.5,72.9,69.9,226,0
/home/lab_user/project/lzc/results/sgpc/runs/20260912_174632_planetoid_s3_retry_Citeseer_pid80284.log,20260912_174632_planetoid_s3_retry_Citeseer_pid80284,Citeseer data_id=1 env=dtgb cuda_visible_devices=0,114b585d0d0e,1095ac78920a,0,3,dense,64,1128,1128,73.0,127,72.2,127,72.2,72.6,70.0,215,0
/home/lab_user/project/lzc/results/sgpc/runs/20260912_174140_planetoid_s4_Citeseer_pid78022.log,20260912_174140_planetoid_s4_Citeseer_pid78022,Citeseer data_id=1 env=dtgb cuda_visible_devices=0,114b585d0d0e,72952adeb096,0,4,dense,51,1190,1190,71.2,189,69.0,189,69.0,71.1,70.2,227,0
