label,dataset,n_iters,acc_mean,std_ddof0,std_ddof1,official_eval_acc,official_eval_std,per_iter,exit_code,runtime_seconds,repo_commit,log
20260913_225114_official_Amazon-ratings_r10_pid295941,Amazon-ratings,10,51.95,0.51,0.54,51.95,0.51,52.70;51.98;52.16;51.63;52.08;52.31;52.62;51.18;51.14;51.69,0,1252,72ad3692916e,results/gbn/runs/20260913_225114_official_Amazon-ratings_r10_pid295941.log
20260913_231209_official_CS_r10_pid301439,CS,10,95.80,0.28,0.29,95.79,0.28,96.37;95.69;95.64;95.66;95.31;95.58;95.80;96.05;95.91;95.94,0,767,72ad3692916e,results/gbn/runs/20260913_231209_official_CS_r10_pid301439.log
20260914_000955_official_Cora_r10_pid313248,Cora,10,84.74,1.86,1.96,84.74,1.86,81.73;83.58;82.84;86.90;83.58;84.87;87.27;86.16;83.58;86.90,0,89,72ad3692916e,results/gbn/runs/20260914_000955_official_Cora_r10_pid313248.log
20260913_223150_official_Roman-empire_r10_pid292135,Roman-empire,10,86.87,0.43,0.45,86.87,0.43,86.89;86.76;86.92;87.26;87.22;87.65;86.80;86.36;86.83;86.04,0,1161,72ad3692916e,results/gbn/runs/20260913_223150_official_Roman-empire_r10_pid292135.log
20260913_222959_official_Texas_r10_pid290777,Texas,10,82.16,3.46,3.65,82.16,3.46,86.49;83.78;78.38;81.08;89.19;81.08;78.38;83.78;78.38;81.08,0,65,72ad3692916e,results/gbn/runs/20260913_222959_official_Texas_r10_pid290777.log
20260913_232459_official_WikiCS_r10_pid303922,WikiCS,10,84.91,0.70,0.74,84.91,0.70,84.91;84.87;85.73;83.93;84.96;84.53;85.51;84.23;84.19;86.24,0,1674,72ad3692916e,results/gbn/runs/20260913_232459_official_WikiCS_r10_pid303922.log
20260913_223107_official_Wisconsin_r10_pid291505,Wisconsin,10,85.29,3.43,3.61,85.29,3.42,80.39;86.27;88.24;92.16;82.35;82.35;86.27;82.35;84.31;88.24,0,40,72ad3692916e,results/gbn/runs/20260913_223107_official_Wisconsin_r10_pid291505.log
20260913_235257_official_computers_r10_pid309356,computers,10,91.12,0.37,0.39,91.12,0.37,91.64;90.36;91.24;91.09;91.60;91.05;90.95;91.38;91.16;90.73,0,1015,72ad3692916e,results/gbn/runs/20260913_235257_official_computers_r10_pid309356.log
